iso,year,effective_activity,display_activity
AR,2020,0.0,0.0
AR,2021,0.0049504950495049,0.0049504950495049
AR,2022,0.0,0.0
AR,2023,7.138528138528138,7.138528138528138
AR,2024,20.162337662337663,20.162337662337663
AR,2025,10.0,10.0
AR,2026,9.029411764705882,13.39729794356767
AU,2020,0.5,0.5
AU,2021,3.504950495049505,3.504950495049505
AU,2022,1.5,1.5
AU,2023,9.78932178932179,9.78932178932179
AU,2024,16.41590909090909,16.41590909090909
AU,2025,25.416666666666668,25.416666666666668
AU,2026,28.334173669467788,42.040542233153424
BR,2020,1.0,1.0
BR,2021,3.004950495049505,3.004950495049505
BR,2022,1.0,1.0
BR,2023,9.547619047619047,9.547619047619047
BR,2024,27.071428571428573,27.071428571428573
BR,2025,19.03448275862069,19.03448275862069
BR,2026,20.53448275862069,30.467830109335576
CA,2020,2.0,2.0
CA,2021,2.6716171617161715,2.6716171617161715
CA,2022,2.0,2.0
CA,2023,14.78932178932179,14.78932178932179
CA,2024,12.790909090909091,12.790909090909091
CA,2025,10.482857142857142,10.482857142857142
CA,2026,15.804761904761905,23.450154858691445
CN,2020,3.0,3.0
CN,2021,10.004950495049505,10.004950495049505
CN,2022,13.5,13.5
CN,2023,28.5,28.5
CN,2024,25.0,25.0
CN,2025,73.53448275862068,73.53448275862068
CN,2026,66.53448275862068,98.71986262966077
DE,2020,0.0,0.0
DE,2021,3.004950495049505,3.004950495049505
DE,2022,2.0,2.0
DE,2023,9.72063492063492,9.72063492063492
DE,2024,14.5,14.5
DE,2025,20.5904329004329,20.5904329004329
DE,2026,12.600840336134453,18.696368791419005
EU,2020,7.0,7.0
EU,2021,26.0,26.0
EU,2022,27.0,27.0
EU,2023,43.5,43.5
EU,2024,64.0,64.0
EU,2025,103.25,103.25
EU,2026,81.0,120.18292682926828
FR,2020,0.0,0.0
FR,2021,1.004950495049505,1.004950495049505
FR,2022,3.0,3.0
FR,2023,6.0777777777777775,6.0777777777777775
FR,2024,8.696428571428571,8.696428571428571
FR,2025,11.123766233766233,11.123766233766233
FR,2026,5.071428571428571,7.524680603948895
GB,2020,6.5,6.5
GB,2021,8.17161716171617,8.17161716171617
GB,2022,13.0,13.0
GB,2023,32.81154401154401,32.81154401154401
GB,2024,41.91590909090909,41.91590909090909
GB,2025,45.02376623376623,45.02376623376623
GB,2026,35.9,53.26626016260162
IN,2020,0.0,0.0
IN,2021,0.0049504950495049,0.0049504950495049
IN,2022,2.0,2.0
IN,2023,5.0,5.0
IN,2024,6.5,6.5
IN,2025,24.19090909090909,24.19090909090909
IN,2026,17.434173669467786,25.867778005511145
IT,2020,1.0,1.0
IT,2021,2.004950495049505,2.004950495049505
IT,2022,2.0,2.0
IT,2023,6.0777777777777775,6.0777777777777775
IT,2024,10.0,10.0
IT,2025,15.692857142857143,15.692857142857143
IT,2026,9.600840336134453,14.245149279223883
JP,2020,0.0,0.0
JP,2021,1.004950495049505,1.004950495049505
JP,2022,2.5,2.5
JP,2023,8.555555555555555,8.555555555555555
JP,2024,11.5,11.5
JP,2025,12.642857142857142,12.642857142857142
JP,2026,8.600840336134453,12.76140944182551
KR,2020,1.5,1.5
KR,2021,3.504950495049505,3.504950495049505
KR,2022,2.0,2.0
KR,2023,18.555555555555557,18.555555555555557
KR,2024,35.125,35.125
KR,2025,50.84090909090909,50.84090909090909
KR,2026,55.60084033613445,82.49718179954908
NL,2020,0.0,0.0
NL,2021,0.0049504950495049,0.0049504950495049
NL,2022,1.0,1.0
NL,2023,4.165079365079365,4.165079365079365
NL,2024,10.0,10.0
NL,2025,9.256666666666666,9.256666666666666
NL,2026,5.600840336134453,8.310189929630388
PH,2020,0.0,0.0
PH,2021,1.004950495049505,1.004950495049505
PH,2022,0.0,0.0
PH,2023,7.0,7.0
PH,2024,10.0,10.0
PH,2025,7.1,7.1
PH,2026,6.029411764705882,8.946078431372548
SA,2020,2.0,2.0
SA,2021,0.0049504950495049,0.0049504950495049
SA,2022,1.5,1.5
SA,2023,5.0,5.0
SA,2024,17.566666666666666,17.566666666666666
SA,2025,9.5625,9.5625
SA,2026,16.0,23.739837398373982
SG,2020,3.833333333333333,3.833333333333333
SG,2021,2.1716171617161715,2.1716171617161715
SG,2022,3.5,3.5
SG,2023,8.055555555555555,8.055555555555555
SG,2024,15.0,15.0
SG,2025,13.6,13.6
SG,2026,17.529411764705884,26.009086561453852
TH,2020,0.0,0.0
TH,2021,1.004950495049505,1.004950495049505
TH,2022,4.0,4.0
TH,2023,4.0,4.0
TH,2024,2.0,2.0
TH,2025,9.1,9.1
TH,2026,7.0,10.386178861788617
TR,2020,0.0,0.0
TR,2021,2.004950495049505,2.004950495049505
TR,2022,0.0,0.0
TR,2023,0.0222222222222222,0.0222222222222222
TR,2024,6.0,6.0
TR,2025,5.0,5.0
TR,2026,8.029411764705882,11.913558106169296
TW,2020,1.0,1.0
TW,2021,1.0,1.0
TW,2022,0.0,0.0
TW,2023,2.0,2.0
TW,2024,8.0,8.0
TW,2025,12.04,12.04
TW,2026,9.0,13.353658536585366
US,2020,8.0,8.0
US,2021,22.33828382838284,22.33828382838284
US,2022,28.0,28.0
US,2023,128.22063492063492,128.22063492063492
US,2024,198.9,198.9
US,2025,248.18852398250425,248.18852398250425
US,2026,148.59607843137255,220.47792124980072
VN,2020,0.0,0.0
VN,2021,1.004950495049505,1.004950495049505
VN,2022,0.0,0.0
VN,2023,1.0,1.0
VN,2024,7.5,7.5
VN,2025,28.1,28.1
VN,2026,47.5,70.47764227642276
