year,display_activity,series,n_countries
2020,1.7727272727272727,OECD observed,11
2021,4.474647464746474,OECD observed,11
2022,5.181818181818182,OECD observed,11
2023,21.707765971402335,OECD observed,11
2024,33.25855962219599,OECD observed,11
2025,41.29630029120759,OECD observed,11
2026,45.01667422327393,OECD observed,11
2020,1.7,G20 observed,15
2021,4.149394939493949,G20 observed,15
2022,4.933333333333334,G20 observed,15
2023,19.3204329004329,G20 observed,15
2024,30.142972582972583,G20 observed,15
2025,38.755000742984485,G20 observed,15
2026,45.27105550752214,G20 observed,15
2020,0.25,EU members observed,4
2021,1.504950495049505,EU members observed,4
2022,2.0,EU members observed,4
2023,6.51031746031746,EU members observed,4
2024,10.799107142857142,EU members observed,4
2025,14.165930735930736,EU members observed,4
2026,12.194097151055542,EU members observed,4
