l2_label,p10,p90,min_country,min_value,max_country,max_value,OECD observed,EU members observed,US,CN,JP,KR
Disinformation and information integrity,-0.19214531610934857,1.8252416166676224,FR,-1.8860150389396904,AR,2.018197448887143,0.6031312048008944,0.7163466807773486,0.41859270202593624,0.5621129202577124,0.11527166096673702,0.4391690406407283
AI safety and risk management,-0.7969913645592526,1.5842606938395194,DE,-1.8985678833950643,AU,2.4894543160038496,0.38421256777774887,0.052718621303918425,0.4272957766877014,-1.1546893185103004,-0.815815410887228,0.18135108412007453
Algorithmic fairness and bias governance,-1.3176482313371531,0.6097157053893038,IN,-1.7671459006259744,TW,1.4638182258915167,-0.2783034401969685,-0.579105293027306,-1.3315244062048148,-0.03822957193599097,0.8970540431793042,0.32438837068554316
International AI governance coordination,-1.0163501340038477,0.8559607515207804,IT,-2.2335343701843966,TW,1.5298326526537163,-0.2930368646902672,-0.5925630374587335,0.6199983149108454,0.9944455742933942,0.7312749327593709,-0.6071099466566101
Algorithmic transparency and accountability,-0.8012440539906306,1.4258382412851778,AU,-1.7819907168856723,AR,1.7710687396547882,0.4362788808225492,1.1880590376299203,-0.502996688518368,-0.8343826501542153,0.5333209905703837,0.6265585850766808
Data protection and privacy,-1.33052603400073,1.400842665334426,FR,-3.7381156866100738,NL,2.6027832265560624,-0.0388573258336462,0.4722929528844872,-0.26119984265265994,-2.236806895281561,0.867185172969699,-0.5269982786801634
AI cybersecurity and resilience,-0.05223612261305625,1.502256386837287,TR,-0.6598209693478747,AU,2.3078655362589804,0.7878072322554664,0.7811360912007532,1.3512581243421509,0.9028799539817618,1.0122008688357034,-0.061775896725831114
Institutional AI governance,-2.2607258198988327,1.0699334814418968,AR,-2.916523073796233,CN,2.199559801395173,-0.182302626923856,0.08445081524178716,0.3084810476149655,2.199559801395173,-2.32375305111452,0.16449239130906512
Risk-based AI regulation and oversight,-1.7680758460791208,3.287840236504877,TW,-3.2802200529958476,IN,3.978751396049715,0.201397901667399,0.8888433024202926,-0.3805706802635388,-1.575939852508388,-1.4120507502867425,-0.829135214575305
AI ethics and human-centered governance,-3.947995943790403,0.6445444209723642,IN,-4.996108295660511,CN,1.3760911856800457,-1.1117504117622512,-1.8646714608479025,-0.25182336022753077,1.3760911856800457,-0.9013987414026217,0.10819310438926893
Responsible AI and compliance,-4.616603932768564,2.70196462666804,NL,-5.060090083509183,CN,4.687140514399022,-0.6944579476867166,-2.0050021620982497,1.4708329398570004,4.687140514399022,0.21076798954809406,-0.3559845290284219
"AI, rights, and biometrics",-4.5818521609826215,3.6190095389443018,TW,-6.002889637479707,FR,6.197172575669094,0.21103923367173258,0.8644669918935216,-2.2822459650672338,-5.304160680475492,-0.9408544009431932,0.11498482729505877
