layer,topic_id,label,l3_final_l2,x,y,is_hardware
Policy,POLICY-REF-0035,AI security,AI cybersecurity and resilience,0.4104432,1.0886415,False
Policy,POLICY-REF-0105,Critical infrastructure protection,AI cybersecurity and resilience,0.024194894,1.0887586,False
Policy,POLICY-REF-0107,Cyber-Physical Systems Security,AI cybersecurity and resilience,0.3055089,1.1845114,False
Policy,POLICY-REF-0160,Dual-use AI,AI cybersecurity and resilience,0.47081992,1.1743557,False
Policy,POLICY-REF-0177,Epistemic Security,AI cybersecurity and resilience,0.26551762,1.2821661,False
Policy,POLICY-REF-0237,Harm Reduction Models,AI cybersecurity and resilience,0.14482461,1.3465004,False
Policy,POLICY-REF-0246,Human-Command-In,AI cybersecurity and resilience,-0.25078693,2.1560752,False
Policy,POLICY-REF-0313,National Security and AI,AI cybersecurity and resilience,0.25443926,1.1432428,False
Policy,POLICY-REF-0337,Privacy-enhancing technologies,AI cybersecurity and resilience,-0.6539281,0.5956355,False
Policy,POLICY-REF-0366,Reliability and robustness,AI cybersecurity and resilience,0.5542878,0.66745436,False
Policy,POLICY-REF-0385,Safe-by-Design,AI cybersecurity and resilience,-0.07077805,0.87899405,False
Policy,POLICY-REF-0388,Safety Engineering,AI cybersecurity and resilience,0.323692,1.1651897,False
Policy,POLICY-REF-0391,Sandboxing,AI cybersecurity and resilience,-0.06129693,1.2967136,False
Policy,POLICY-REF-0449,Threat modelling,AI cybersecurity and resilience,0.3974912,0.96355134,False
Policy,POLICY-REF-0469,Weaponized AI,AI cybersecurity and resilience,1.3641682,0.99499226,False
Policy,POLICY-REF-0475,Zero-trust architecture in AI,AI cybersecurity and resilience,0.07236555,1.3663298,False
Policy,POLICY-REF-0010,AI arms race,"AI economy, labor, and industrial policy",-0.6877956,1.9745488,False
Policy,POLICY-REF-0021,AI for public services,"AI economy, labor, and industrial policy",-0.20698242,2.3235683,False
Policy,POLICY-REF-0026,AI investment,"AI economy, labor, and industrial policy",-0.25662354,2.271258,False
Policy,POLICY-REF-0006,administrative use of AI,"AI economy, labor, and industrial policy",-0.2942972,2.2525494,False
Policy,POLICY-REF-0061,automation,"AI economy, labor, and industrial policy",0.7902903,1.8660074,False
Policy,POLICY-REF-0090,competition policy,"AI economy, labor, and industrial policy",-0.1171019,2.1605363,False
Policy,POLICY-REF-0094,compute access,"AI economy, labor, and industrial policy",0.32845706,2.115146,False
Policy,POLICY-REF-0142,digital divide,"AI economy, labor, and industrial policy",0.26141566,2.18472,False
Policy,POLICY-REF-0146,digital literacy,"AI economy, labor, and industrial policy",-0.19417292,2.1615963,False
Policy,POLICY-REF-0166,economic competitiveness,"AI economy, labor, and industrial policy",0.08871923,2.1141834,False
Policy,POLICY-REF-0174,environmental impact of AI,"AI economy, labor, and industrial policy",-0.7005042,2.3939078,False
Policy,POLICY-REF-0218,future of work,"AI economy, labor, and industrial policy",0.37137237,2.0574179,False
Policy,POLICY-REF-0261,industrial policy,"AI economy, labor, and industrial policy",0.06281682,1.994605,False
Policy,POLICY-REF-0265,innovation policy,"AI economy, labor, and industrial policy",0.024664521,2.044803,False
Policy,POLICY-REF-0281,job displacement,"AI economy, labor, and industrial policy",0.85348064,1.8416002,False
Policy,POLICY-REF-0282,labor market disruption,"AI economy, labor, and industrial policy",0.58332896,1.9503859,False
Policy,POLICY-REF-0297,market concentration,"AI economy, labor, and industrial policy",-0.074936286,1.6906037,False
Policy,POLICY-REF-0339,procurement policy,"AI economy, labor, and industrial policy",-0.4456772,2.1813836,False
Policy,POLICY-REF-0342,productivity growth,"AI economy, labor, and industrial policy",0.21775918,2.0989282,False
Policy,POLICY-REF-0368,reskilling and upskilling,"AI economy, labor, and industrial policy",0.8267469,1.8833315,False
Policy,POLICY-REF-0398,semiconductor supply chain,"AI economy, labor, and industrial policy",1.7482064,1.2197764,False
Science,SCIENCE-REF-1213,skill-biased technological change,AI innovation and economic institutions,1.1105641,2.1762562,False
